ref,date,riskRating,category,location,details
SCA14.1098,2014-11-24,Minor,Concern for minor raised,"RPC3, AREA1, TENT2",CONCERN FOR A MINOR WAS RAISED BY A FAMILY IN A NEAR BY TENT
SCA14.1104,2014-11-24,Information,FIGHTING,"RPC3, MESS",DISAGREEMENT BETWEEN FATHER AND MOTHER ABOUT HER BOYFRIEND WAS CAUSING THEM TO EAT LUNCH LATE AS TRYING TO AVOID THEM AND CONFLICT.
SCA14.1112,2014-11-26,Minor,ANTISOCIAL BEHAVIOR,RPC3 AREA1 TENT8,"DISCUSSION WITH [REDACTED] REGARDING DISAGREEMENT BETWEEN [REDACTED], [REDACTED] AND HERSELF. [REDACTED] ADVISED SHE WAS PROVOKED AND IT WAS NOT HER INTENTION TO GET INTO A FIGHT WITH THEM"
SCA14.1113,2014-11-26,Minor,THREAT OF HARM,RPC3 AREA1 TENT8,[REDACTED] ADVISED CSPW THAT IS HER DAUGHTER DID NOT END THE RELATIONSHIP WITH HER BOYFRIEND WITHIN 10DAYS SHE WOULD KILL HERSELF. SHE WAS INCOURAGED TO ATTEND IHMS COUNSELLING SERVICES AND WAS PUT ON WELFARE WATCH BY WILSONS
SCA14.1232,2014-12-31,Minor,,"RPC3, AREA1","WHILE SPEAKING WITH [REDACTED] AND [REDACTED], [REDACTED] ADVISED THAT HE WAS VERY ANGRY (FURIOUS) THAT HE AND HIS FAMILY HAD BEEN MOVED TO AREA 1, WHILE [REDACTED] AND HIS FAMILY HAD BEEN ABLE TO REMAIN IN AREA9. [REDACTED] STATED THAT THIS FAMILY HAS LIED ABOUT THE AGE OF THEIR DAUGHTER, [REDACTED], THAT SHE IS [REDACTED] ODL, THEY HAVE SAID SHE IS [REDACTED]. [REDACTED] IS ANGRY THAT SHE IS CONSIDERED OLD ENOUGH/ABLE TO ATTEND SCHOOL AT RPC1, WHILE THE FAMILY CONTINUED TO LIVE IN THE AIR CONDITIONING TENTS IN AREA 9, WITH NO YOUNGER CHILDREN AND A DAUGHTER WHO IS OLDER THEN HIS DAUGHTER, WHILE HE AND HIS FAMILY HAVE BEEN FORCED TO MOVE TO AREA 1. [REDACTED] ADVISED THAT [REDACTED] TEASES/ BULLIES WHEN HE WALKS PAST BY MAKING COMMENTS ABOUT THEIR LIVING ARRANGEMENTS. 
 [REDACTED] STATED THAT IS THIS SITUATION IS NOT RESOLVED WITHIN A WEEK, THAT [REDACTED]'S AGE IS CORRECTED AND [REDACTED] AND HIS FAMILY AREN'T MOVED TO AN AREA APPROPRIATE FOR HIS DAUGHTERS AGE (AREA 3 OR 1), THEN [REDACTED] IS GOING TO COLLECT HIS BELONGINGS AND MOVE HIS FAMILY BACK RO AREA 9
 [REDACTED] HAS ALSO STATED THAT HE REFUSED TO ENGAGE WITH SCA SERVICES UNTIL THIS ISSUE IS RECTIFIED."
SCA14.0234,2014-05-13,Information,Concern for minor raised,,"Seven young children including [REDACTED], [REDACTED], and [REDACTED] were seen running up the exit from OPC3 across the road and into the entry to SAFs accommodation without any adult supervision. This is extremely hazardous as vehicles are moving constantly on this road and these children are aged between 5-7."
SCA14.0341,2014-06-25,Information,,,[REDACTED] and another child seen running towards road crossing from RPC3. School bus was coming towards them but would not have been able to see them.
SCA14.1044,2014-11-03,Information,,,[REDACTED] FELL ON THE GROUND AND BROKE HIS ID CARD WHICH BROKE. WHEN PICKED UP BY SCA STAFF HE STARTED CRYING AND SAYING THAT HIS FATHER WILL HIT HIM
SCA14.0307,2014-06-17,Minor,,,Children fighting at bus stop before school bus arrived.
SCA14.0739,2014-09-16,Critical,,,Teacher witnessed [REDACTED]'s mother shout at [REDACTED] in foreign language and grab him by the ear.
SCA14.0924,2014-10-13,Minor,SELF-HARM THREAT,RPC1 school,ASYLUM SEEKER SHOWED TEACHING ASSISTANT EVIDENCE OF SELFHARM AND ADVISED HE DID IT WITH A STRAY PIECE OF METAL FROM THE FENCING
SCA14.0976,2014-10-22,Minor,,,[REDACTED].[REDACTED] and [REDACTED] was telling them that she was going to drink mosquito repellent.
SCA14.0187,2014-04-15,Not Rated,Illness,,[REDACTED] rushed out of the internet indicating she needed to vomit. She didn't. Went to toilet and could be heard making vomiting sounds
SCA14.0268,2014-05-29,Minor,,,[REDACTED] hit his head whilst walking out of his classroom. Matter will be reported to Parents before[REDACTED] is examined. IHMS advised that it is not an emergency as IRG024 did not lost conscious.
SCA14.0276,2014-06-05,Minor,,,"[REDACTED] and [REDACTED] were playing soccer during the lunch@soccer field at school. [REDACTED] showed aggressive behaviour towards [REDACTED] for no justification. SCA [REDACTED], [REDACTED] and [REDACTED] tried to calm them and separate them from each other but [REDACTED] dodged from them and went to the canteen where [REDACTED] was sanding. [REDACTED] verbally and physically assaulted [REDACTED] until he was restrained first by SCA and then Wilson staff. [REDACTED] remained calm the entire time."
SCA14.0293,2014-06-12,Information,SELF-HARM THREAT,,"[REDACTED] was playing soccer at lunch when he reinjured an already sore foot. He came into class in pain so I ([REDACTED] SCA) put ice omn his foot. He began screaming and yelling in his first language and [REDACTED] said ""He is saying if you don't let him go to IHMS he will kill himself"", to which [REDACTED] began pulling his hair and punching himself in the face. I told [REDACTED] that an SCA was coming to escort him to IHMS.[REDACTED] SCA arrived and took him to IHMS with a security escort and I notified [REDACTED] caseworker."
SCA14.0432,2014-07-09,Information,,,Primary school child did not want to get on bus. This is out of character
SCA14.0629,2014-08-22,Minor,,,"During a game of rounders, [REDACTED] swung tennis racquet and accidentally hit [REDACTED], who showed signs of injury. Student taken to IHMS who were reluctant to assist him without his parents. [REDACTED] (SCA TA) asked for an ice pack while they waited."
SCA14.0568,2014-08-07,Minor,,,Client advised SCA worker that when she took her daughter to the toilet she was told to wait by a guard. Subsequently her daughter soiled her pants. This made the client distressed when she tried to raise this with the guard.
SCA14.0658,2014-08-25,Minor,Misbehaviour,Kayser College,"During recess at Kayser College,[REDACTED] was reported to have hit another child with a ruler (a year 4 Nauruan boy) on the head after a disagreement between the two boys, splitting his forehead just above the boys eyebrow. Principal [REDACTED] asked for him to be sent home."
SCA14.0724,2014-09-09,Minor,,,[REDACTED] stated she did not receive a clothing appt today and stated she was going to cut herself today.
SCA14.0895,2014-10-08,Not Rated,,,"[REDACTED] told case worker ""I am not okay"" repeatedly until she was screaming the words, and then left towards her tent. Case worker went with another staff member to check on her a few minutes later and [REDACTED] came out of her tent screaming the same words. Security present and asked SCA workers to leave the area."
SCA14.0896,2014-10-08,Minor,,,Case worker visited [REDACTED] check on her. Found he very upset and having difficulty breathing. [REDACTED] then fainted and had spasms. Security called.
SCA14.1130,2014-11-30,Minor,,,[REDACTED] tried to take [REDACTED] chair while seated at the BBQ in RPC3. [REDACTED] raised her voice at [REDACTED] and made rude comments to her resulting in [REDACTED] leaving the BBQ and returning to her room
SCA14.1231,2014-12-31,Minor,Family Violence,"RPC3, AREA1","[REDACTED] DISCLOSED THAT APPROX 4 MONTHS AGO [REDACTED] IT HER. AND THE PAST FEW WEEKS HIS ANGER HAS BEEN GETTING WORSE, HE [REDACTED] ANGER. CM DISCUSSED WITH WILSON'S THAT [REDACTED] WANTED ANY WATCH TO BE DISCREET."
SCA14.1241,2014-03-19,Minor,Bullying & Harrassment,"RPC3, MESS",[REDACTED] APPROX 10YRS DEMONSTRATED VIOLEN AND DISRUPTIVE BEHAVIOUR TO MYSELF AND OTHERS.
SCA14.0653,2014-08-25,Information,,,Client seems withdrawn. Monitored by writer. Stated to another teacher that feels she would rather be dead.
SCA14.1102,2014-11-24,Information,Self-Harm,IHMS,"[REDACTED] SISTER [REDACTED] HAD BEEN SEEN FOR A HEAD UNJURY THE NIGHT BEFORE AT OPC3 AND GOT SENT BACK TO CAMP, WHICH UPSET [REDACTED]. SHE HAS BEEN SEEN BY IHMS AT OPC1 AT THE TIME OF THE INCIDENT
 [REDACTED] WAS GIVEN THE AUTHURISATION TO SEE HIS SISTER BY A IHMS STAFF MEMBER AT THE FRONT DESK. 
 WHEN [REDACTED] AND [REDACTED] ARRIVED IN THE TREATMENT ROOM THE NURSE STARTED TELLING [REDACTED] OFF FOR HIS BEHAVIOUR THE NIGHT BEFORE AND WAS ASKED TO SHOW HIS WOUND, WHICH HE DID. 
 SITUATION ESCALATED AND [REDACTED] WAS RESTIAN BY WILSONS"
SCA14.0027,2014-01-17,Information,Concern for minor raised,,"On Friday 17/1/2014, bus was returning from school - OPC3 NSS program with nine children. As then bus was offloading [REDACTED] had become upset due to a prior conversation with another child. [REDACTED] made further allegations that a lady wilsons guard had tried to drag him off the bus and called him a (little shit)."
SCA14.0084,2014-03-03,Minor,Fighting,RPC3 Rec Tent,"On Monday 3rd March, [REDACTED] and [REDACTED] got in a small dispute over a ping pong game they'd been playing together. Save the Children Recreation Officers [REDACTED] and [REDACTED] tried to regulate the situation, when [REDACTED] started to get increasingly aggitated, shouting at the REcreation STaff, throwing water at them and then attempting to fight [REDACTED].
 [REDACTED] was then asked to leave the program in accordance with Save The Children's Behaviour Policy. [REDACTED] repeatedly refused to leave so Recreation Office [REDACTED] went to [REDACTED] father [REDACTED].
 After many attempts [REDACTED]'s father eventually removed [REDACTED].
 Approximately 20 minutes later, SCA Recreation Office [REDACTED] saw [REDACTED) had returned to the REcreation Tent and was playing with a TSA marked volleyball. SCA Recreation Office, [REDACTED] eplained to [REDACTED] that he had to leave the area because of his earlier fighting incident.
 [REDACTED] then became incredible irrate; shouting kicking and punching Recreation Officer, [REDACTED]. Senior Recreation Office [REDACTED] approached [REDACTED] and [REDACTED]'s brother [REDACTED] who had now joined him. Both brothers were arguing with the Recreation Staff, for the volleyball to be returned. The ball now being held by office [REDACTED]. The two Wilson officers then came to escore the boys [REDACTED] and [REDACTED] out of the tent. As Senior Recreation Office, [REDACTED] was bending down talking to [REDACTED], [REDACTED] slapped [REDACTED] across the face.
 [REDACTED] and [REDACTED] then both ran into the back rooms, picking up and throwing toys, overturning chairs and bins and shouting at staff members. After many attempts to calm both boys, Wilson Officers removed them both."
SCA14.0874,2014-10-06,Minor,,,"[REDACTED] threatened to kill staff if not allowed to participate in rec session, he then threw rocks at staff and rec tent."
SCA14.0998,2014-10-27,Minor,,,"[REDACTED], [REDACTED], [REDACTED], [REDACTED] approached SCA staff with complaints about harassment and aggressive behaviour from a Wilsons guard named [REDACTED]."
SCA14.1013,2014-10-29,Major,,,[REDACTED] was holding a plastic knife at lunch and it appeared she was showing [REDACTED] how to self harm or her own self harm marks
SCA14.0144,2014-03-27,Minor,Family Violence,,Physical altercation between [REDACTED] and Wilson Security removing from the playground
SCA14.0229,2014-05-09,Minor,,,[REDACTED] pushed in front of [REDACTED] in line resulting in [REDACTED] saying no and pushing [REDACTED]. [REDACTED] punched [REDACTED] in the face. SCA STAFF [REDACTED] tried to escort Mohammad out of the tent. [REDACTED] became very angry and another SCA staff member assisted [REDACTED] in removing [REDACTED] from the tent.
SCA14.0870,2014-10-05,Minor,,,[REDACTED] was throwing rocks at staff and threatening SCA and Wilson staff
SCA14.0495,2014-07-23,Minor,,,Client [REDACTED] refused to hand over table tennis bat in Rec tent after being told that he was banned from the tent due to bad behaviour the day before.
SCA14.0839,2014-07-24,Information,NON-COMPLIANT,,14:10 [REDACTED] ADVISED SCA STAFF MEMBER [REDACTED] THAT MOTHER WAS NOT ATTENDING PLAYGROUP. [REDACTED] CONTACTED FAMILY SCA CW TO ADISE [REDACTED] WAS UNACCOMPANIED. CW WAS NOT PRESENT HOWEVER ANOTHER SCA CW ADVISED [REDACTED] COULD NOT BE LEFT UNACCOMPANIED.
SCA14.0707,2014-09-03,Minor,,,[REDACTED] seen slapping [REDACTED] across the face during a recreation session.
SCA14.0878,2014-10-06,Minor,Abusive / Aggressive Behaviour,"RPC3, AREA 9",[REDACTED] WENT TO SPEAK TO STAFF. ARRIVED TO FIND [REDACTED] THROWING ROCKS AT STAFF INSIDE TENT 70. [REDACTED] WAS OUTSIDE . I TRIED TO CALM [REDACTED] DOWN AND ASKED SECURITY NEARBY TO ASIST FROM SOCCER PITCH. [REDACTED] STOPPED THROWING ROCK BUT MADE THREATS TO SCA STAFF AND WILSONS STAFF. TENT 70 WAS CLEARED OF OTHER CHILDREN AND EVENTUALLY [REDACTED] LEFT THE AREA AT APPROX 20:00HRS. I SPOKE TO HIS FATHER [REDACTED] AND EXPLAINED HIS ACTIONS WHICH HE APOLOGISED FOR.
SCA14.1036,2014-11-01,Information,Property damage,"RPC3, REC TENT","14:30 - SCA STAFF MEMBER [REDACTED 1] APPROACHED THE RECREATION TENT AND MOTICED RUBBISH THROWN ALL AROUND THE INSIDE OF THE TENT. [REDACTED 2] TOLD [REDACTED 1] KIDS HAD BROKEN INTO THE TENT WITHIN THE LAST HALF HOUR. [REDACTED1] ASKED [REDACTED 2] IF ANY SECURITY WERE SITTING NEAR THE TENT WHILE THE KIDS WERE INSIDE AND HE SAID YES. 15:00 [REDACTED 1] RAISED THE ISSUE ABOUT THE MESS WITH SCA MANAGEMENT TO FOLLOW UP.
 [REDACTED 1] ALSO SPOKE TO ROMEO 1 TO ASK STAFF NOT TO LET KIDS INTO THE TENT WHEN SCA STAFF AREN'T PRESENT. [REDACTED 1] CALLED THE CLEANING MANAGER AND ASKED TO HAVE THE MESS CLEANED UP. SCA STAFF REPORTED MESS WAS STILL IN THE TENT AT 19:00HRS."
SCA14.1053,2014-11-09,Minor,,,"Involved in a dispute over being served at the BBQ, hitting and knoocking peoples food out of their hands."
SCA14.1100,2014-11-24,Minor,Abusive / Aggressive Behaviour,"RPC3, AREA 9",AT APPROX 16:45 [REDACTED 1] (WILSON'S PSS) ASSISTED [REDACTED 2] (SCA) IN REMOVING [REDACTED 3] FROM THE SOCCER PITCH AREA [REDACTED 3]'S BEHAVIOUR WAS SLOWLY DETERIORATING DURING THE PLAY SESSION ON THE SOCCER PITCH. JUST BEFORE HE WAS REMOVED HE STATED ACTING AGGRESSIVELY TOWARDS OTHER CHILDREN. [REDACTED 1] QUICKLY REMOVED HIM AND CLOSED THE GATE. ONCE OUTSIDE [REDACTED 3] WAS USING OFFENSIVE LANGUAGE AND THREATENING THAT HE WOULD GRAB [REDACTED 1]'S 'WANDU' AND GESTURING [REDACTED 1]'S PUBIC AREA
SCA14.1205,2014-12-21,Minor,,,[REDACTED] WAS REMOVED FROM THE SOCCER PITCH SESSION BY SECURITY AS HE STARTED ACTING AGGRESSIVELY TOWARDS OTHER CHILDREN
SCA14.0011,2014-01-09,Minor,Accident / Injury,,[REDACTED 1] pushed [REDACTED 2] and [REDACTED 3]. [REDACTED 3] pushed back. [REDACTED 1] and [REDACTED 3] exchanged pushes and verbal abuse. [REDACTED 4] and [REDACTED 5] Aisa also started arguing and pushing. [REDACTED 4] punched [REDACTED 5] in the face. [REDACTED 4] picked up rocks and threw them.
SCA14.0016,2014-01-14,Information,Bullying & Harrassment,NSS,"On duty as a CSO at NSS, STC staff [REDACTED 1] (CSPW) approached security stating [REDACTED 2] would be taken back to OPC3 for misbehaving (picking on other children). [REDACTED 1] and [REDACTED 3] from STC made the decision to remove him from NSS and take [REDACTED 1] back to OPC3. At approx 1100hrs CSO [REDACTED 4] and CSPW from STC ""[REDACTED 3]"" transported child back to centre."
SCA14.0332,2014-06-23,Information,,,[REDACTED 1] was seen climbing on temporary fence causing it to come down on top of him. SCA case manager lifted fence off him and saw no visible injuries. [REDACTED 2] was then seen shouting and attempting to hit [REDACTED 1].
SCA14.0400,2014-07-03,Information,,,CM reporting 'bizarre' discussions with [REDACTED 1]. Referred him to IHMS for a psychiatric assessment
SCA14.0418,2014-07-06,Major,,,"[REDACTED] states she is concerned for her wellbeing and that of other SAFs in the camp, as they receive offers to 'get them pregnant' and 'take their virginity' from guards when inside and outside of the camp."
SCA14.0802,2014-09-28,Information,,RPC3 - Area 1,"During a meeting with [REDACTED 1], Case Manager [REDACTED 2] was informed by [REDACTED 1] that a group of female asylum seekers had approached [REDACTED 1] near the mess within the last two days and asked her to join their suicide pact. [REDACTED 1] stated that she did not want to as she did not want to die. CM Asked [REDACTED 1] who the women were and she declined to to answer. CM asked how many women and [REDACTED 1] said more than 10, maybe 15. CM asked if they were mothers and [REDACTED 1] said yes, some were. CM asked if the women spoke to [REDACTED 1] in Arabic and [REDACTED 1] replied that some spoke Arabic and some spoke Farsi. CM asked [REDACTED 1] if she knew how or when they planned to action this pact. [REDACTED 1] said it would be in 2-3 days time and they would find a way (she did not know how). [REDACTED 1] told CM she is not involved and did not want to discuss further as she felt very traumatised by the events going on around her."
SCA14.0848,2014-10-02,Minor,Suicidal Ideation,RPC3,"[REDACTED] informed CW that he is mentally unwell, his mother sad he has told her that he will kill himself."
SCA14.0849,2014-10-02,Information,N/A,,DURING ROUTINE CM WELFARE CHECK; ASYLUM SEEKERS WHERE SEEN TO BE IN A LOW MOOD. [REDACTED] WAS VIEW HITTING HER HEAD WITH BOTH HANDS AND RIPPING AT THE TARP OVER THEIR DOOR
SCA14.0527,2014-07-28,Information,,,Client [REDACTED] disclosed to SCA worker that she is being racially bullied by a group of girls at school and has not been attending school because of it.
SCA14.0558,2014-08-05,Minor,,,Clients complained to SCA worker that cockroaches have crawled over him throughout the night and his children are not sleeping due to fear of the bugs
SCA14.0559,2014-08-05,Minor,,,Client [REDACTED] advised SCA worker that the whole camp was woken by security guards at around 6am and made to stand on the volleyball court for 45mins. People were distressed and unsure why this was done. Client said a guard told his child to shut up.
SCA14.0573,2014-08-09,Minor,,,"[REDACTED 1] and [REDACTED 2] playing in rain water. [REDACTED 1] threw thongs into running water, where they were sucked away. [REDACTED 2] approached [REDACTED 1] and punched her in the face and pulled her hair. Young clients moved away from each other. Then [REDACTED 1] returned to punching in the chest. Told to stop. Writer made physical barrier with delf. No first aid required."
SCA14.0945,2014-10-15,Information,SELF-HARM THREAT,RPC1,"[REDACTED] has not being eating properly, withdrawing from activities and said that he would kill himself."
SCA14.0947,2014-10-16,Minor,,,[REDACTED] seen with cut marks on her arm by case worker. When asked she said she was not trying to kill herself but trying to relief the pain following an issue with her boyfriend
SCA14.0948,2014-10-16,Minor,,,[REDACTED] told case worker he is angry at his sister and stated he is going 'to kill her'.
SCA14.0955,2014-10-18,Major,,,"[REDACTED 1] disclosed to [REDACTED 2] (SCA worker) that her son, [REDACTED 3] had threatened self harm and expressed that he was not coping being in detention."
SCA14.0961,2014-10-19,Information,,RPC3 AREA 5,"FROM 0945 TO 1110 SCPW [REDACTED 1] MET WITH [REDACTED 2] AND [REDACTED 3] INDIVIDUALLY. SRI, TAMIL INTERPRETER WAS ALSO PRESENT.DURING THIS CONVERSATION PANJALINGHAM ADVISED THAT HIS DAUGHTER SURA WAS IN A RELATIONSHIP WITH DUKE. HE ADVISED THAT THIS RELATIONSHIP COULD NOT CONTINUE GIVEN THE SIGNIFICANT AGE DIFFERENCE AND DUKE HAS A WIFE BACK IN SRI LANKA. PANJALINGHAM ADVISED THAT SURYA WAS HAVING AN AFFAIR WITH DUKE AND DUKE HAD BEEN TELLING EVEYONE IN CAMP ABOUT THIS. PANJALINGHAM OUTLINED THAT HE ONLY FOUND OUT ABOUT THIS THREE DAYS AGO. PANJALINGHAM ADVISED THE REASON THE TWO OF THEM ARE TOGETHER IS 'OUR' FAULT AS WE ALLOW THEM TO ATTEND ENGLISH CLASS TOGETHER AND THIS IS THE ONLY TIME THEY SEE EACH OTHER. PANJALINGHAM STATED THAT HE CANNOT LET THIS RELATIONSHIP CONTINUE AND HE TOLD THIS TO SURYA HOWEVER SHE WONT LISTEN. PANJALINGHAM STATED THAT IF HE NEEDS TO HE WILL KILL SURYA. HE THEN ADVISED THAT HE ALSO CANNOT HELP HIMSELF AND HE WILL PHYSICALLY HARM DUKE. WE DISCUSSED WAYS THAT PANJALINGHAM COULD MAINTAIN HIS COMPOSURE IF AND WHEN HE SEES DUKE AROUND THE CAMP AND ALLOW US TO SPEAK WITH sURYA REGARDING THE RELATIONSHIP. CSPW DANI THEN SPOKE TO SEETHA WHOA DVISED THAT THEY ARE ALL VERY FEARFUL OF PANJALINGHAM GIVEN HIS SIGNIFICANT HISTORY OF EXPOSURE TO TORTURE AND TRAUMA AND HIS VIOLENCE TOWARDS HER FOR THE PAST 25 YEARS. SEETHA FURTHER STATED THAT HE HAS THREATENED TO KILL DUKE AND SUYRAIF THE RELATIONSHIP CONTINUES AND HERSELF FOR NOT BEING HONEST WITH HIM. SEETHA FURTHER STATED THAT ON THE 17/10/2014 AND ON 18/10/2014 AFTER PANJALINGHAM FOUND OUT ABOUT THIS RELATIONSHIP HE DID NOT ALLOW THEM TO LEAVE THEIR TENT TO ACCESS FOOD. SHE ADVISED THAT SHE DID BELIEVE PANJALINGHAM WOULD HARM THEM IN THE IMMEDIATE FUTURE. THIS IS GIVEN ARE DOING AS HE SAYS, NOT RESPONDING TO HIM AND ONLY LEAVING AREA 5 IF HE IS WITH THEM. SEETHA ADVISED THAT PANJALINGHAM IS PHYSICALLY VIOLENT TOWARDS HER HOWEVER THE LAST TIME HE HURT HER WAS IN CURTIN DETENTION CENTRE. SHE ADVISED THAT SHE HAS NEVER REPORTED THIS HOWEVER HER CHILDREN HAVE BEEN EXPOSED TO THIS. SEETHA ADVISED THAT PANJALINGHAM HAS THREATENED TO LEAVE NAURU TO RETURN TO SRI LANKA IF THIS RELATIONSHIP CONTINUES HOWEVER THEY WILL NOT GO WITH HIM. SHE ADVISED THAT THEY WOULD BE CONCERNED ABOUT THEIR SAFETY IF THEY WERE TO LEAVE NAURU WITH PANJALINGHAM. CSPW DANI INFORMED SEETHA THAT SHE WOULD BE REPORTING THIS INFORMATION TO BOTH MY MANAGER AND WILSON SECURITY AND SHE WAS UNSURE WHAT WOULD BE DONE. CSPW DANI ADVISED SEETHA THAT IF PANJALINGHAM DID BEGIN TO ESCALATE SHE NEEDED TO REMOVE HERSELF FROM THE IMMEDIATE VICINITYALONF WITH HER CHILDREN AND REPORT THIS IMMEDIATELY TO SECURITY. SHE AGREED. SEETHA ADVISED THAT SHE WOULD CONTINUE TO DO AS SHE IS TOLD BY PANJAINGHAM AS SURYA IS THE ONE WHO HAS DONE THE WRONG THING."
SCA14.1226,2014-12-30,Major,,,"SCA CW [REDACTED 1], [REDACTED 2] and [REDACTED 3] were in the playground when they were advised that [REDACTED 4], [REDACTED 5] and [REDACTED 6] were on the roof of the tent. SCA CW's negotiated with the children to come down and were assisted by one female Wilson CSO. As this was happening [REDACTED 4], [REDACTED 5], [REDACTED 6] and [REDACTED 7] began to climb the trusses and sat on the roof. SCA CW's along with SCA Rec Staff negotiated with the children and after a period of aprox 5 minutes all but two of the children came down. After additional negotiation the remaining two children came down and returned to recreation activities. This incident was initially classified as a minor however was later reclassified as a major."
SCA14.0729,2014-09-11,Information,Misbehaviour,RPC3 - Area 1,23:30 Supervising UAM's in Family Camp. 23:40 Observed ANA020 walking up the hill towards Area 1. I went in pursuit of him as I observed him to enter Area 1. I approaches Wilson's CSO [REDACTED 1] and requested her assistance to enter Area 1 and retrieve [REDACTED 2] and escort him back to Area 10
SCA14.1239,2014-02-08,MINOR,ANTISOCIAL BEHAVIOR,"RPC3, BUS",AT APPROX 11:20AM I SAW [REDACTED 1] WAS AN ESCORT ON BUS 17. WHEN A MOTHER [REDACTED 2] AND HER SON [REDACTED 3] WERE HAVING A VERBAL ARGUMENT.
SCA14.1247,2014-04-20,MAJOR,Physical Violence,"RPC3, REACTRATION AREA",AT ABOUT 1300HRS THE POI WAS WITNESSED BY CSO SHARMAN TO PUNCH ZIO022 IN THE FACE WITH CONSIDERABLE FORCE. THE POI FLED FROM THE SCENE AND THE VICTIM DID ALSO. AT ABOUT 1500HRS THE POI SLAPPED THE VICTIM TOX050 IN THE FACE WITH CONSIDERABLE FORCE. ON BOTH OCCASIONS THE POI WAS UNPROVOKED AND BOTH VICTIMS CRIED.
SCA14.0059,2014-02-17,Minor,Fighting,,[REDACTED 1] threw ball at mirror and verbally abused [REDACTED 2]. ADE013 then started fighting with [REDACTED 1]. [REDACTED 3] also said that [REDACTED 4] ([REDACTED 1]'s father) kicked him.
SCA14.1245,2014-03-24,Minor,ANTISOCIAL BEHAVIOR,"RPC3, MESS","SECURITY WAS NOTIFIED TO ASSISTED WITH THE BELOW INCIDENT: 
 SCA [REDACTED 1] OBSERVED [REDACTED 2] CRYING ON BEANBAG. [REDACTED 2] JESTERED THAT [REDACTED 3] HAS HIT HER WITH A BEANBAG. [REDACTED 3] ADVISED IT WAS UNITENTIONAL AND APOLOGIESED. [REDACTED 2] BROTHER APPROACHED [REDACTED 3] RESULTING IN PHYSICAL ALTERATIONS. PARENTS HAD ALSO GOT INVOLVED."
SCA14.1220,2014-12-28,Minor,,,CM IN THE INTERNET ROOM FOUND [REDACTED] LOOKING AT PORNOGRAPHIC IMAGES. CM ADVISED IT WAS INAPPROPRIATE AND NOT NOT LOOK AT THEM AGAIN. [REDACTED] UNDERSTOOD
SCA14.1225,2014-12-29,Minor,Abusive / Aggressive Behaviour,"RPC3, SOCCOR PITCH","AT APPROXIMATELY 5PM ON THE SOCCER PITCH [REDACTED 1] KICKED THE SOCCOR BALL INTO [REDACTED 2] ON PURPOSE AT CLOSE RANGE MAKING HIM FALL TO THE GROUND AND BEGIN TO CRY. [REDACTED 3] THEN TOOK [REDACTED 1] OFF THE SOCCER PITCH TO HAVE A BREAK FROM SOCCER AND CALM DOWN. [REDACTED 1] THEN STARTED TO SWEAR AT [REDACTED 3] MANY TIMES. [REDACTED 3] THEN TOLD [REDACTED 1] HE HAD TO LEAVE, AS HE WAS WALKING AWAY HE PICKED UP A HANDFUL OF ROCKS AND THROUGH THEM AT EVERYONE ON THE SOCCER PITCH. [REDACTED 1] CONTINUED TO DO THIS 3 TIMES BEFORE HE WALKED OFF."
SCA14.0317,2014-06-19,Major,,,"[REDACTED 1] seen dragging her child, dropping her child from a height, kicking him and hitting him during playgroup"
SCA14.0273,2014-06-01,Minor,,,"Transferees [REDACTED 1], [REDACTED 2] and [REDACTED 3] (POI) asked [REDACTED 4] to go back on the other side to play while she was resting under the shade area in OPC3 with her children [REDACTED 5], [REDACTED 6] and [REDACTED 7].She refused to move and also threatened and verbally abused POI's son [REDACTED 5] that she will hit him with rock. On questioning POI's son and witnesses stated POI did not touch the victim."
SCA14.0398,2014-07-02,Information,,,Fell off playground
SCA14.0344,2014-08-25,Information,,,"CM was talking with [REDACTED 1], who reported sadness about Australian Government Policy regarding offshore detention. She stated she would soon 'hurt herself'. CM attempted to discuss this further. [REDACTED 1] stated she would kill herself even if security were watching. She became emotional and her husband [REDACTED 2] stated he would look after her. She settled when her son arrived home from school."
SCA14.0657,2014-08-25,Minor,SELF-HARM THREAT,RPC3 - Area 3,"CM was visiting the family today when POI expressed her sadness and disappointment regarding the current Australian Government Policy about resettlement and raised questions about why people have to live here in thise environmental conditions in RPC3. During the conversation POI reported that if she doesn't get to go to Australia soon she will 'hurt herself'. CM attempted to discuss this concern further with POI to explore why she would want to hurt herself and what result she would think she would get by saying that she would hurt herself. POI further stated that even if security was here and watching her she would still 'kill herself'. Her emotional affect then became heightened and she began raising her voice, swearing about Australia, stated she hated Australia and was swearing about Tony Abbott.
 POI's husband [REDACTED 1] was also present during the conversation and stated to CM that POI would not hurt herself, her furthermore stated that he will look after her and she was having a very bad day today. [REDACTED 1] reported that they are very aware that one day they will be living free and remain hopeful about their future.
 The conversation lasted for forty minutes, during the last 10 minutes of the conversation Laila's young son arrived home from school, she began to become more settled, she talked with her son and smiled with CM for a short time prior to CM leaving area 3."
SCA14.0663,2014-08-26,Minor,,,"POI stormed out of the canteen, flinging the gate backwards which struck a child in the face. The child did not require medical attention however [REDACTED 1] did not stop."
