ref,date,reclassified,"riskRating",category,details
SCA15.0127,9/2/2015,NO,MINOR,Non-complaint,"AT 19:00 ON THE 8/2/15 SCA WORKER [REDACTED] PUT IN A MOVIE FOR FAMILY NIGHTIN THE RECREATION TENT AT RPC3. AS THE MAJORITY OF CHILDREN ATTENDING WERE 10 AND UNDER AND NO YOUTH OR ADULTS WERE PRESENT, SCA WORKER [REDACTED] DECIDED TO CHANGE THE MOVIE 20 MINUTES INTO THE ORIGINAL MOVIE TO SUIT THE AUDIENCE OF THE YOUNGER CHILDREN. SENIOR RECREATION OFFICER D[REDACTED] CAME INTO THE RECREATION TENT AND HELPED CHANGE THE MOVIE; AS A RESULT OF THIS SOME OF THE CHILDREN WERE UPSET AND NOT HAPPY. [REDACTED] AND D[REDACTED] CALMED THE CHILDREN DOWN AND THE NEW MOVIE BEGAN. D[REDACTED] LEFT TO GO BACK TO THE INTERNET ROOM TO SUPERVISE THE YOUTH. AFTER 10 MINUTES A NUMBER OF THE OTHER CHILDREN DID NOT LIKE THE CHANGE STILL AND BEGAN TO THROW AROUND CHAIRS AND BEGAN YELLING AND SCREAMING AT THE SCA WORKER [REDACTED]. SCA WORKER [REDACTED] ASKED THE CHILDRE TO STOP AND CHILDREN WOULD NOT LISTEN TO HER. A NUMBER OF CHILDREN THEN BEGAN HITTING THE LAPTOP AND PULLING OUT THE CORDS ABD THREW THE MOVIE EQUIPMENT ON THE FLOOR. SCA WORKER [REDACTED] CALLED IN WILSONS GUARDS WHO WERE AT THE PLAYGROUND TO HELP DE-ESCALATE THE SITUATION. WILSONS GUARDS ATTENDED AND STACKED CHAIRS. SCA WORKERS [REDACTED] AND D[REDACTED] ENDED THE PROGRAM AT APPROX 20:00 DUE TO THE CHILDREN'S DEFIANT BEHAVIOURS AND TO MAKE SURE THE EQUIPMENT WAS NOT DAMAGED."
SCA15.0128,10/2/2015,NO,MINOR,Abusive / Aggressive Behaviour,"AT APPROX 14:30 HRS ON 10 FEFRUARY 2015, CSPW [REDACTED] AND TIS WORKER [REDACTED] MET WITH [REDACTED] AND A[REDACTED] AT TENT 40.7. [REDACTED] ADVISED THAT ON 5TH FEBRUARY 2015 AND 9TH FEBRUARY 2015 HE WAS PHYSICALLY PUSHED BY A TEACHERS ASSISTANT [REDACTED] AT NAURU COLLEGE. [REDACTED] ADVISED THAT ON BOTH OCCASIONS HE WAS IN ROOM 3 AND WAS SITTING ON THE BENCH WHEN TAECHERS ASSISTANT [REDACTED] ASKED HIM TO LEAVE THE ROOM. [REDACTED] STATED HE DID NOT LEAVE THE ROOM AND ADVISED TEACHERS ASSISTANT [REDACTED] THEN PUSHED HIM OFF THE BENCH WITH BOTH HANDS. [REDACTED] ADVISED THAT AN OFFICER WAS PRESENT AND WITNESSED THE ALTERCATION. AT APPROX 17:20HRS CSPW [REDACTED] SPOKE WITH [REDACTED] (WILSON'S) AND [REDACTED] (WILSON'S) AS [REDACTED] HAD BEEN PRESENT AT NAURU COLLEGE. [REDACTED] CONFIRMED THAT [REDACTED] REFUSED TO LEAVE THE ROOM BUT THAT TEACHERS ASSISTANT DID NOT PUSH HIM AND THAT SHE USED ONE HAND TO GUIDE HIM OUT OF THE ROOM AFTER WHICH HE SAT DOWN OUTSIDE. AT APPROX 17:35 CSPW [REDACTED] SPOKE WITH SENIOR CASE WORKER [REDACTED] WHO ADVISED TO PROCEED WITH COMPLETING AN INCIDENT REPORT."
SCA15.0129,10/2/2015,NO,MINOR,Non-complaint,"AT 16:30 [REDACTED] ENTERED THE RECREATION TENT 87 AND FILLED UP A WATER BOTTLE OF FLOUR WITHOUT SCA'S KNOWLEDGE. THE FLOUR WAS OUT OF REACH OF CHILDREN STORED ON TOP OF A CUPBOARD. [REDACTED] PROCEEDED TO STAND UP ON A CHAIR AND TAKE THE FLOUR. SCA STAFF MEMBER [REDACTED] NOTICED [REDACTED] WITH THE FLOUR AND ASKED KINDLY IF HE COULD PLEASE RUTURN TO STAFF AS THIS WAS FOR OUR RECREATION PROGRAM. [REDACTED] PROCEEDED TO EXIT TENT[REDACTED]. STAFF FOLLOWED AND ASKED AGAIN TO PLEASE RETURN THE FLOUR WHEN HE RAN OFF. AT THIS POINT, STAFF IMMEDIATLY NOTIFIED WILSONS SECURITY OF THE SITUATION. SCA STAFF MEMBERS [REDACTED] AND [REDACTED] ENDED THE SESSION EARLY DUE TO CHILDREN [REDACTED] AND [REDACTED] THROWING CHAIRS AROUND THE ROOM AND SCREAMING AT WORKERS. [REDACTED] PUSHED INTO SCA WORKER [REDACTED] ON HER WAY OUT OF THE RECREATION TENT."
SCA15.0130,11/2/2015,NO,MINOR,Non-complaint,"CASE WORKER [REDACTED] AND TAMIL INTERPRETER SIVA ENTERED AREA 9 AT APPROX 1105. CW OBSERVED A YOUR BOY IDENTIFIED AS [REDACTED] SPEAKING WITH THE FEMALE SECURITY GUARD AT THE AREA 9 POST. CM WAS INFORMED [REDACTED] WAS LOOKING FORM HIS PARENTS. AT THIS TIME [REDACTED] APPEARED CALM BUT WORRIES. SECURITY ADVISED CW TO ASSIST BY LOOKING IN TENT 72. CW COULD NOT LOCATE [REDACTED]'S PARENTS IN TENT 72. CW SPOKE WITH A NEIGHBOR [REDACTED] WHO ASSISTED IN LOOKING FOR [REDACTED]'S PARENTS. [REDACTED] WAS BEGINNING TO GET UP-SET, SOBBING AND LOOKING AROUND APPEARING ANXIOUS. [REDACTED] WAS BEGINNING TO BE COMFORTABLE WITH [REDACTED] WHO TOOK HIM BY THE HAND TO LOOK FOR HIS MOTHER AT THE GYM.
 [REDACTED]'S MOTHER WAS LOCATED AT THE GYM AND WAS REUNITED WITH HER SON APPROX 25MINS LATER AT 1130.
 CW [REDACTED] MET WITH [REDACTED]'S MOTHER [REDACTED] AFTER SHE HAD BEEN REUNITED WITH [REDACTED]. CW [REDACTED] REPORTED THAT [REDACTED] ONLY PLANNED TO BE GONE FOR A SMALL AMOUNT OF TIME AND WAS UPSET THIS OCCURRED"
SCA15.0131,11/2/2015,NO,MINOR,Abusive / Aggressive Behaviour,"AT APPROX. 1530 I MET WITH [REDACTED], SCA RECREATIONAL STAFF MEMBER, WHO PROVIDED ME WITH ADDITIONAL INFORMATION REGARDING INCIDENT CONTAINED IN INFORMATION REPORT 090204 DATED 08/02/2015 WHICH OCCURRED AT 1740.
 ALSO PRESENT WAS [REDACTED], SCA RECREATION CO-ORDINATOR AND [REDACTED], SCA RECREATION MANAGER.
 PIETA ADVISED THE FOLLOWING:
 * AT APPROX. 1700 HE ARRIVED AT ECHO 3 EXCURSION PICKUP AREA
 * [REDACTED] WAS VERBALLY AGGRESSIVE. [REDACTED] WAS YELLING AND TELLING PIETA THAT HE WAS WAITING AND SHOULD BE ON THE EXCURSION.
 [REDACTED] TOLD [REDACTED] TO CALM DOWN AND THAT THEY HAVE TO WAIT FOR PEOPLE ON THE LIST TO ARRIVE FIRST.
 * [REDACTED] CONTINUED TO YELL AT [REDACTED].
 * [REDACTED] OBSERVED THAT [REDACTED] WIFE AND TWO CHILDREN WERE PRESENT DURING THE INCIDENT [REDACTED].
 * [REDACTED] ADVISES HE FELT UNSAFE SO HE ENTERED ECHO, STOOD BEHIND GATE AND INFORMED [REDACTED] THAT THE EXCURSION WAS CANCELLED.
 * [REDACTED] STATED ""ANYTIME ANY PLACE I KILL YOU"". [REDACTED] WAS CRYING WHEN HE SAID THIS.
 * [REDACTED] CONTINUED TO YELL AT[REDACTED], ASKING WHY THE EXCURSION WAS CANCELLED.
 * WILSONS SECURITY ASKED [REDACTED] TO TAKE A SEAT IN ECHO AWAY FROM THE FENCE.
 * A WILSONS SECURITY STAFF MEMBER SPOKE WITH [REDACTED] AND REQUESTED THAT HE CALM DOWN.
 * [REDACTED] ADVISED THAT [REDACTED] (LOCAL PSS STAFF MEMBER), TOLD HIM THAT [REDACTED] POINTED HIS FINGER AND DREW IT ACROSS HIS THROAT. [REDACTED] ADVISES HE DID NOT WITNESS THIS HIMSELF
 * [REDACTED] ADVISED HE WALKED UP THE HILL AND WAS MET BY SENIOR SCA REC WORKER [REDACTED] HALF WAY. [REDACTED] ADVISED THAT HE TOLD [REDACTED] THAT [REDACTED] HAD SAID HE WOULD KILL HIM. [REDACTED] INFORMED [REDACTED] THAT HE HAD CANCELLED THE EXCURSION.
 * [REDACTED] THE ATTENDED ECHO3 AND REINSTATED THE EXCURSION, [REDACTED] HAD LEFT THE AREA AT THIS TIME
 * [REDACTED] THE COMPLETED INCIDENT REPORT ON INITIAL INFORMATION."
SCA15.0132,11/2/2015,NO,MINOR,Antisocial Behaviour,CSPW'S [REDACTED] AND BRONWYN [REDACTED] WERE PRESENT AT THE PLAYGROUND AT 1600 WHERE THERE WERE A NUMBER OF CHILDREN PRESENT. [REDACTED] AND [REDACTED] WERE INVOLVED IN AN ALTERCATION WHICH SAW THEM THROW STONES AT EACH OTHER WHICH STRUCK SCA WORKERS ALONG WITH OTHER CHILDREN. [REDACTED] PICKED UP A STICK AND WAS ATTEMPTING TO STRIKE OTHER CHILDREN (WHO WERE UNABLE TO BE IDENTIFIED). AT THIS POINT EVENTUALLY LED TO HER BECOMING CALM.
SCA15.0133,12/2/2015,NO,MINOR,Abusive / Aggressive Behaviour,"[REDACTED] DISPLAYED ABUSIVE AND AGGRESSIVE BEHAVIOUR BY PHYSICALLY ATTACKING [REDACTED] AT 1050HRS. THIS WAS INTERRUPTED BY [REDACTED] WHO INTERVENED BEFORE [REDACTED] WAS INJURED.
 [REDACTED] BELIEVED THAT [REDACTED] HAD STOLEN HIS MP3 PLAYER AND QUICKLY BECAME IRATE. [REDACTED]'S FRIEND [REDACTED] ATTEMPTED TO CALM HIM, BUT [REDACTED] CLIMBED BETWEEN THE PARTITIONS IN THE COMPUTER ROOM AND THERE WAS A PHYSICAL ALTERCATION WITH [REDACTED]. [REDACTED] IMMEDIATELY INTERVENED. HE WAS FOLLOWED BY [REDACTED] FROM WILSONS WHO ENCOURAGED [REDACTED] TO LEAVE ROOM. [REDACTED] REMAINED IN THE COMPUTER ROOM FOR A MOMENT AND WAS CALMED BY [REDACTED]. WILSONS RETURNED WITH [REDACTED], AN IRANIAN GUARD WHO CAN SPEAK FARSI, WHO, ACCOMPANIED BY THREE OTHER WILSONS' EMPLOYEES, TOOK THE THREE MEN OUTSIDE THE ROOM TO DISCUSS WHAT HAPPENED.
 [REDACTED] RECEIVED NO APPARENT INJURIES AND DID NOT SEEK MEDICAL AID."
SCA15.0134,12/2/2015,NO,MINOR,Abusive / Aggressive Behaviour,"WHILE ON DUTY IN RPC3 GYM AT APPROXIMATELY 18:45 ON THE 12/02/2015 THERE WAS AN INCIDENT INVOLVING AGGRESSIVE\ABUSIVE BEHAVIOUR DEMONSTRATED BY TWO MINORS; [REDACTED] AND [REDACTED]. [REDACTED] AND [REDACTED] ORIGINALLY OPENED THE GYM GATE AND RAN ONTO CHECK ON THE WATER AND START PLAYING IN THE GYM. THEY WERE INFORMED BY SCA STAFF MEMBER [REDACTED] THAT THE GYM IS UNSAFE FOR CHILDREN AND ASKED 3 TIMES TO LEAVE.
 [REDACTED] AND [REDACTED] IGNORED THESE INSTRUCTIONS AND CONTINUED TO START PLAYING ON GYM EQUIPMENT THAT IS UNSAFE FOR CHILDREN. DURING THIS TIME ANOTHER SCA ADULT RECREATION STAFF MEMBER [REDACTED] ARRIVED TO ASSIST. AS A MEASURE OF SAFETY [REDACTED] AND [REDACTED] WERE WALKED OUT BY [REDACTED] AND [REDACTED] BY HOLDING THEIR UPPER ARMS AND NOT USING ANY UNNECESSARY OR EXCESSIVE FORCE. WHILST [REDACTED] AND [REDACTED] WERE ON THE OUTSIDE OF THE GATE [REDACTED] BEGAN TO EXPLAIN TO THEM WHY CHILDREN ARE UNABLE TO ACCESS THE GYM. [REDACTED] TOLD [REDACTED] TO ""FUCK OFF"" AND THROUGH HANDFULS OF STONES AT HIM.
 [REDACTED] IMMEDIATELY WENT TO SPEAK WITH THE FATHERS OF [REDACTED] AND [REDACTED] WHILE PIETA STAYED ON DUTY IN THE GYM.
 [REDACTED]'S FATHER IMMEDIATELY SPOKE TO THE GIRLS AND THEY LEFT THE ENTRANCE OF THE GYM. DURING THE PERIOD FROM 18:45 TO 19:00 [REDACTED] AND [REDACTED] ATTEMPTED TO CLIMB ON THE GYM FENCING AND WERE ASKED TO STOP AND INFORMED THIS WAS UNSAFE. THEY MANAGED TO REACH THE TOP OF THE FENCES AND MANAGED TO ENTER THE GYM BY CLIMBING THE FENCES."
SCA15.0135,13/2/2015,NO,MINOR,Self-Harm Threat,"AT APPROXIMATELY 1430 TODAY, I WAS IN THE SAF RECREATION TENT WHERE THERE WAS AN INFORMATION SESSION TAKING PLACE FOR THE SAF'S MOVING FROM AREA 4 TO AREA 1. I WAS TALKING WITH THE GIRLS ABOUT THE ARRANGEMENTS AND BEING SUPPORTIVE.
 WHEN SPEAKING WITH [REDACTED], [REDACTED] AND [REDACTED] [REDACTED] THAT ALL STATED THAT IS THEY ARE MADE TO MOVE TO AREA 1 THEY WILL KILL THEMSELVES. AT DIFFERENT TIMES THROUGHOUT THE INFORMATION SESSION, THEY WERE LAUGHING BUT ALSO MAKING PHYSICAL SUGGESTIONS OF SLICING THEIR WRISTS"
SCA15.0136,13/2/2015,NO,MINOR,Self-Harm Threat,"ON 13/02/2015 AT 14.45 SCA CONDUCTED AN ACCOMMODATION BALLOT IN THE SAF'S AREA. [REDACTED] AND [REDACTED] HANDED IN A VOTING FROM TRANSLATED AS ""IF YOU FORCE US TO MOVE WE WILL KILL OURSELVES""
 AFTER THE BALLOT CLOSED AND [REDACTED]'S NAME HAD BEEN DRAWN AS SOMEONE WHO HAS TO SHARE A ROOM, [REDACTED] CAME UP TO WELFARE MANAGER [REDACTED] AND STATED ""I AM CRAZY, I WILL NOT SHARE, IF YOU FORCE ME I WILL KILL MYSELF RIGHT IN FRONT OF EVERYBODY'S EYES"". THIS WAS IN RELATION TO NEXT WEEKS MOVE. [REDACTED] WAS THEN OBSERVED TO BE LAUGHING WITH FRIENDS AND NO IMMEDIATE RISK WAS APPARENT."
SCA15.0137,13/2/2015,NO,MINOR,Abusive / Aggressive Behaviour,"DURING THE 20:45-22:00 INTERNET SESSION TONIGHT I EXPERIENCED AGGRESSIVE/ABUSIVE BEHAVIOUR DIRECTED TOWARD ME BY TWO YOUTHS: [REDACTED] AND [REDACTED] AND [REDACTED] ENTERED THE INTERNET ROOM WITH THEIR MOTHERS [REDACTED] AND [REDACTED]. I INFORMED [REDACTED] AND [REDACTED] THAT IT IS AN ADULT ONLY SESSION AND THAT THEY WOULD HAVE TO LEAVE SO THAT ALL ASYLUM SEEKERS HAVE EQUAL ACCESS TO THE INTERNET.THE BOYS REFUSED AND STATED THAT THEY NEEDED TO HELP THEIR MOTHERS WITH THE INTERNET. I STATED THAT I WOULD BE COMING BACK IN 5 MINUTES AND WOULD NEED TO TURN OFF THE MACHINES IF THE BOYS WERE STILL PRESENT. UPON RETURN [REDACTED] AND [REDACTED] WERE STILL PRESENT ALTHOUGH THEY HAD LOGGED THEIR MOTHERS INTO FACEBOOK AND SKYPE. I GAVE BOTH MOTHERS AND THEIR SONS TWO MORE WARNINGS AND STATED I WOULD NEED TO TURN OFF THE MACHINES. [REDACTED] AND [REDACTED] REFUSED TO LEAVE WITH THE SUPPORT OF THEIR MOTHERS SO I SAID I AM SORRY , I AM GOING TO TURN THE MACHINES OFF, AND SLOWLY TURNED OF THE MACHINE. AS I WENT TO TURN OFF THE SECOND MACHINE [REDACTED] GRABBED HOLD OF MY RIGHT WRIST AND BEGAN THREATENING. AT THIS TIME BOTH MOTHERS AND THEIR SONS RAISED UP FROM THEIR CHAIRS AND BEGAN TO DIRECT INTIMIDATING AND THREATENING BEHAVIOUR TOWARD ME. APPROXIMATELY 2 MORE WILSON'S GUARDS ENTERED AT THIS TIME AND THE FAMILIES BEGAN TO BACK AWAY FROM ME. WILSON'S CONTINUED TO ASSIST AS I LEFT ANOTHER SCA THERE TO WRITE THE IR."
SCA15.0137A,13/2/2015,NO,MINOR,Abusive / Aggressive Behaviour,"AT APPROX 21:15HRS CSO [REDACTED] (ROMEO 2B) WAS CONDUCTING HER DUTIES IN AREA 11 FOXTROT 10 INTERNET ROOM. AT THIS TIME SHE WITNESSED SAVE THE CHILDREN STAFF MEMBER [REDACTED] ASKING [REDACTED] [REDACTED] [REDACTED] TO LEAVE THE INTERNET AS IT WAS NOT THEIR APPOINTED TIME SLOT. BOTH [REDACTED] AND [REDACTED] WERE IN THE INTERNET ROOM WITH THEIR MOTHERS [REDACTED] AND [REDACTED]. [REDACTED] AND [REDACTED] CONTINUED SITTING AT THE COMPUTERS,[REDACTED] TOLD THEM IF THEY WOULD NOT LEAVE HE WOULD HAVE TO SWITCH THE COMPUTERS OFF. [REDACTED] WARNED THEM AGAIN AND GAVE THEM FIVE MINUTES TO TO TURN THE COMPUTERS OFF. THEY DID NOT COMPLY SO [REDACTED] THEN TURNED THE COMPUTER [REDACTED] WAS SITTING AT OFF. BOTH [REDACTED] AND [REDACTED] CORNERED [REDACTED] UP AGAINST THE WALL IN A THREATENING MANNER WITH [REDACTED] HOLDING [REDACTED]S LEFT WRIST. [REDACTED] AND [REDACTED] ALSO STOOD UP FROM THE COMPUTER DESKS AND WERE SHOUTING AT [REDACTED]. CSO [REDACTED] ASKED [REDACTED] AND [REDACTED] TO MOVE AWAY, TO WHICH [REDACTED] COMPLIED BUT [REDACTED] STILL STOOD IN FRONT OF [REDACTED]. CSO [REDACTED] THEN ENTERED THE INTERNET ROOM AND ASKED [REDACTED] TO MOVE AWAY AND SIT DOWN. [REDACTED] THEN ALSO COMPLIED AND SAT BACK DOWN, [REDACTED] THEN HIT THE COMPUTER AND WALKED OUT OF THE INTERNET ROOM SHOUTING AND CRYING. [REDACTED] FOLLOWED AND BEGAN SHOUTING F@#K YOU OFFICER, F@#K YOU, IN THE DIRECTION OF CSO [REDACTED]. [REDACTED] THEN VACATED THE AREA WITH [REDACTED] FOLLOWING"
SCA15.0138,14/2/2015,NO,MINOR,Abusive / Aggressive Behaviour,"AT APPROX 11:57 AM ON 14/02/2015 CW [REDACTED] OBSERVED AGGRESSIVE BEHAVIOUR BETWEEN TWO MINORS NEAR AREA 1 SECURITY TENT. THE MINORS [REDACTED] AND [REDACTED] WERE THROWING ROCKS AT EACH OTHER. [REDACTED] THEM ATTEMPTED TO THROW A CHAIR AT [REDACTED], WHEN A WILSON'S SECURITY GAURD (NAME UNKNOWN) INTERVENED AND TOOK THE CHAIR AWAY FROM [REDACTED]"
SCA15.0139,15/2/2015,NO,MINOR,Non-complaint,"[REDACTED] CW STC OBSERVED MANY CHILDREN CLIMBING THE ROCK EMBANKMENT NEXT TO THE SOCCER PITCH. THE FENCE HAS BEEN REMOVED. [REDACTED] REQUESTED ASSISTANCE FROM WILSON STAFF TO GET THE CHILDREN DOWN. TWO WILSON SECURITY STAFF ASSISTED TO ENCOURAGE CHILDREN TO CLIMB DOWN. [REDACTED] HAD TO CLIMB HALF WAY UP THE EMBANKMENT TO TALK TO [REDACTED] AND [REDACTED][REDACTED] SPOKE TO BOTH GIRLS AND THEY WILLINGLY CLIMBED DOWN OFF THE EMBANKMENT. WILSONS STAFF WHO ASSISTED WAS [REDACTED], AND ONE OTHER MALE WORKER"
SCA15.0140,16/2/2015,NO,MINOR,Self-Harm Threat,"AT APPROX 17:45 ON 16/02/2015, CW [REDACTED] WAS CONDUCTING A WELFARE CHECK WITH [REDACTED] AND [REDACTED]. [REDACTED] REPORTED THE FOLLOWING: SHE IS NOT COPING SINCE ARRIVING BACK ON NAURU ON THE 14/02/2015 AFTER SPENDING 7 MONTHS IN AUSTRALIA FOR MEDICAL ISSUES. SHE HAS NOT EATEN OR SLEPT SINCE ARRIVING BACK IN RPC3. HER MIGRANES ARE CONTINUING AND SHE HAS TAKEN 10 PANADOL IN THE LAST 24 HRS. [REDACTED] STATED THAT IF SHE AND HER FAMILY WERE NOT TAKEN OUT OF THE CENTRE SHE ""WILL STRANGLE MY CHILDREN AND KILL MYSELF"""
SCA15.0141,17/2/2015,NO,MINOR,Abusive / Aggressive Behaviour,"I WAS ROSTERED ON AS A TEACHERS ASSISTANT AT NAURU COLLEGE. AT 12:10 THE LOCAL SCHOOL ART TEACHER INFORMED ME THAT A FEMALE NAURU-AN STUDENT IN HER CLASS WAS UPSET AND ANGRY. SHE WAS HOLDING A KNIFE. ON LOOKING INSIDE THE CLASSROOM I SAW A NAURUAN STUDENTS INCLUDING THE FEMALE NAURU-AN STUDENT HOLDING THE KNIFE. I IMMEDIATELY ADVISED WILSON'S OFFICER A. [REDACTED] AND PSS [REDACTED] WHEN THEY ENTERED THE CLASSROOM, THE FEMALE STUDENT THREW THE KNIFE IN THEIR DIRECTION, LANDING ON THE FLOOR. WHILST THE SITUATION WAS BEING DEALT WITH INSIDE THE CLASSROOM, I TOOK CONTROL OF THE GROUP OF STUDENTS GATHERING OUTSIDE THE CLASSROOM. NO ASYLUM SEEKER WAS INVOLVED ONLY SERVICE PROVIDERS."
SCA15.0142,18/2/2015,NO,MAJOR,,"AT LUNCHTIME AT RPC 1 SCHOOL, [REDACTED] SPOKE TO ME, [REDACTED] TO SEE MENTAL HEALTH BECAUSE LAST NIGHT AROUND MIDNIGHT HE WENT TO THE RPC3 MESS AND THE NAURU-AN GUARDS WERE THERE. [REDACTED] TOOK A SANDWICH AND WAS EATING IT, 2 FEMALE OFFICERS TOLD HIM HE SHOULDN'T BE EATING IT. THEN A MALE OFFICER CAME AND SAID TO [REDACTED] - I WILL BE WAITING FOR YOU TO COME OUT (OF DETENTION) AND AFTER 2 WEEKS I WILL KICK YOUR ARSE. [REDACTED] WAS DISTRESSED AND CONCERNED ABOUT WHAT WILL HAPPEN TO HIM WHEN HE IS IN NAURU"
SCA15.0143,18/2/2015,NO,MAJOR,Self-Harm,AT THE END OF LUNCH AT 13:35 STUDENTS WERE MOVING INTO CLASS. STUDENTS [REDACTED] AND [REDACTED] PASSED ME BY AND [REDACTED] SAID THAT [REDACTED] HAD CUT HIS INNER FOREARM. [REDACTED] SHOWED ME RELUCTANTLY THE CUTS ON HIS ARM. I ALERTED [REDACTED] LETTER MY COORDINATOR AND WE WENT INTO HER OFFICE. HE INFORMED US THAT HE'D CUT HIS ARM WITH A PLASTIC KNIFE FROM LUNCH. AFTER THIS [REDACTED] WENT TO INFORM THE SCHOOL CSO [REDACTED] WHILE I ESCORTED [REDACTED] BACK TO CLASS. [REDACTED] CAME TO ASSESS THE CUTS ON HIS ARM AND RECOMMENDED TAKING HIM TO IHMS. [REDACTED] ESCORTED HIM ACROSS TO IHMS.
SCA15.0144,18/2/2015,NO,MINOR,Non-complaint,ON TUESDAY THE 18/02/2015 AT 14:10HRS COMMUNITY HEALTH NURSE (CHN) [REDACTED] (SCA) WAS LEAVING AREA 9 WHEN SHE NOTICED [REDACTED] AGED 3 YRS LEANING ON THE TABLE UNDER THE CABANA NEAR FOXTROT. CHN OBSERVED CHILD TO BE SOBBING AND ALONE. [REDACTED] WOULD NOT SPEAK TO [REDACTED] HOWEVER WAS ABLE TO BE CONSOLED WITH CONVERSATION AND STICKERS. AT THIS TIME CW [REDACTED] ARRIVED AND OFFERED ASSISTANCE AND REMAINED WITH THE CHILD WHILE CHN CHECKED THE TENT AND PLAYGROUND FOR EITHER PARENT. THE WILSON'S SIGN SHEET INDICATED THE MOTHER WAS OUT OF THE AREA AND THE FATHER WAS SIGNED IN. HOWEVER A VERBAL REPORT FROM ANOTHER A/S WAS THAT THE MOTHER WAS AT INTERNET AND THEN GOING TO RPC1 AND THAT THE FATHER WAS AT THE MOSQUE. CHN THEN TOOK [REDACTED] TO THE MOSQUE TO ATTEMPT TO REUNITE WITH HER FATHER HOWEVER THE MOSQUE WAS CLOSED. CHN RETURNED THE CHILD TO AREA9 AND ATTEMPTED TO CALL CSPM HOWEVER THIS WAS UNSUCCESSFUL. AT 14:20HRS [REDACTED] THEN CALLED WHISKEY 3 TO ASSIST IN LOCATING PARENTS. WHISKEY 3 ARRIVED AND CHECKED THE ROOM AGAIN. FATHER WAS LOCATED BY WHISKEY 3 AT THE LIBRARY AND WAS BROUGHT TO AREA 9 TO CARE FOR HIS CHILD AND TO TALK WITH CW AT 14:50HRS. CW ASKED [REDACTED] WHO WAS CARING FOR THE CHILD. [REDACTED] SAID THAT HE THOUGHT HIS WIFE WAS CARING FOR THE CHILD HOWEVER HIS WIFE WAS AT RPC 1. THEN [REDACTED] SAID THAT A RELATIVE WAS LOOKING AFTER [REDACTED]. THE INTERPRETER [REDACTED] WAS USED FOR THIS CONVERSATION. CHN AND CW THEN LEFT AREA9.
SCA15.0145,18/2/2015,YES,MINOR,,"CW [REDACTED] VISITED [REDACTED] AT HER TENT (53.1, AREA 3) FOR THE PURPOSE OF COMPLETING A WELFARE CHECK. DURING THE CONVERSATION [REDACTED] STATED THAT SHE HAS NOT EATEN ANY FOOD, OR HAD ANYTHING TO DRINK FOR THE LAST TWO DAYS. [REDACTED] SAID THAT DUE TO BACK PAIN, SHE REQUIRES ASSISTANCE TO USE THE SHOWER AND TOILET AND ""I DON'T LIKE TO ACCEPT THAT [REDACTED] (FRIEND/BROTHER/GIRLFRIEND) HELP ME SHOWER, BUT I ACCEPT"". BUT I DON'T ACCEPT FOR TOILET, AND [REDACTED] (BROTHER) CANNOT HELP ME TO GO FOR TOILET HERE. SO i DON'T EAT BECAUSE I DON'T WANT TO GO TO TOILET"" CW SPOKE WITH [REDACTED] ABOUT CONSUMING AT LEAST A SMALL PORTION OF RICE, FROM THE FOOD THAT [REDACTED] HAD BOUGHT FOR [REDACTED]. [REDACTED] AGREED TO THIS, BUT THEN INDICATED THAT SHE WOULD NOT FOLLOW THROUGH. CW ASKED [REDACTED]"" WILL YOU PROMISE TO HAVE SOMETHING SMALL TO EAT""? [REDACTED] STATED "" I CANNOT PROMISE"" [REDACTED] ALSO STATED IHMS TOLD ME I NEED EXERCISE, SO LAST NIGHT I WALKED UP TO THE IHMS TENT (RPC3) CW [REDACTED] COMMUNICATED THAT SHOULD [REDACTED] CONTINUE TO MOVE AROUND RPC3 ON HER CRUTCHES, INCLUDING UP TO THE IHMS TENT WITHOUT CONSUMING FOOD OR FLUIDS THAT SHE IS PUTTING HER HEALTH AT RISK. [REDACTED] ACKNOWLEDGED THIS RISK. CW OBSERVED [REDACTED] TO BE VERY THIN, AND UNHEALTHY LOOKING (GREY SKIN, SUNKEN FACE). NOTE: RATING AND INCIDENT TYPE CHANGED BY WILSON'S"
